Warehouse location ID;Slot X;Slot Y;Article;Quantity
10;0;0;;0
10;1;0;;0
10;2;0;;0
10;3;0;;0
10;4;0;;0
10;0;1;SKU189;0
10;1;1;SKU179;0
10;2;1;SKU188;0
10;3;1;;0
10;4;1;;0
10;0;2;SKU333;0
10;1;2;;0
10;2;2;SKU498;0
10;3;2;;0
10;4;2;;0
10;0;3;SKU40;0
10;1;3;SKU383;0
10;2;3;SKU66;0
10;3;3;SKU53;0
10;4;3;SKU253;0
21;0;0;SKU178;0
21;1;0;SKU266;0
21;2;0;SKU65;0
21;3;0;;0
21;4;0;SKU110;0
21;0;1;;0
21;1;1;;0
21;2;1;;0
21;3;1;SKU9;0
21;4;1;SKU246;0
21;0;2;SKU90;0
21;1;2;;0
21;2;2;;0
21;3;2;SKU57;0
21;4;2;;0
21;0;3;;0
21;1;3;SKU429;0
21;2;3;;0
21;3;3;;0
21;4;3;SKU87;0
30;0;0;SKU289;0
30;1;0;;0
30;2;0;;0
30;3;0;;0
30;4;0;SKU401;0
30;0;1;;0
30;1;1;SKU223;0
30;2;1;SKU160;0
30;3;1;SKU29;0
30;4;1;SKU379;0
30;0;2;SKU107;0
30;1;2;;0
30;2;2;SKU61;0
30;3;2;;0
30;4;2;SKU388;0
30;0;3;;0
30;1;3;SKU228;0
30;2;3;;0
30;3;3;SKU214;0
30;4;3;;0
39;0;0;SKU30;0
39;1;0;;0
39;2;0;SKU19;0
39;3;0;;0
39;4;0;;0
39;0;1;SKU127;0
39;1;1;SKU384;0
39;2;1;;0
39;3;1;SKU488;0
39;4;1;;0
39;0;2;SKU27;0
39;1;2;SKU281;0
39;2;2;;0
39;3;2;SKU237;0
39;4;2;SKU43;0
39;0;3;SKU366;0
39;1;3;SKU390;0
39;2;3;SKU245;0
39;3;3;;0
39;4;3;;0
48;0;0;SKU256;0
48;1;0;SKU320;0
48;2;0;SKU322;0
48;3;0;;0
48;4;0;;0
48;0;1;;0
48;1;1;;0
48;2;1;;0
48;3;1;SKU238;0
48;4;1;;0
48;0;2;;0
48;1;2;SKU247;0
48;2;2;;0
48;3;2;SKU397;0
48;4;2;SKU13;0
48;0;3;SKU123;0
48;1;3;SKU209;0
48;2;3;SKU97;0
48;3;3;;0
48;4;3;SKU35;0
63;0;0;;0
63;1;0;;0
63;2;0;;0
63;3;0;;0
63;4;0;SKU134;0
63;0;1;;0
63;1;1;;0
63;2;1;;0
63;3;1;;0
63;4;1;SKU356;0
63;0;2;SKU283;0
63;1;2;;0
63;2;2;;0
63;3;2;;0
63;4;2;SKU74;0
63;0;3;SKU399;0
63;1;3;;0
