Warehouse location ID;Slot X;Slot Y;Article;Quantity
10;0;0;;0
10;1;0;;0
10;2;0;;0
10;3;0;SKU165;0
10;4;0;SKU178;0
10;0;1;SKU169;0
10;1;1;SKU126;0
10;2;1;SKU84;0
10;3;1;;0
10;4;1;;0
10;0;2;;0
10;1;2;;0
10;2;2;SKU90;0
10;3;2;SKU154;0
10;4;2;;0
10;0;3;;0
10;1;3;SKU163;0
10;2;3;;0
10;3;3;SKU77;0
10;4;3;SKU78;0
21;0;0;SKU185;0
21;1;0;SKU71;0
21;2;0;;0
21;3;0;;0
21;4;0;SKU50;0
21;0;1;;0
21;1;1;;0
21;2;1;SKU63;0
21;3;1;;0
21;4;1;SKU5;0
21;0;2;;0
21;1;2;SKU115;0
21;2;2;SKU155;0
21;3;2;;0
21;4;2;;0
21;0;3;;0
21;1;3;;0
21;2;3;SKU20;0
21;3;3;SKU54;0
21;4;3;;0
30;0;0;SKU74;0
30;1;0;SKU171;0
30;2;0;SKU73;0
30;3;0;;0
30;4;0;;0
30;0;1;SKU87;0
30;1;1;SKU128;0
30;2;1;;0
30;3;1;SKU13;0
30;4;1;SKU144;0
30;0;2;SKU26;0
30;1;2;;0
30;2;2;SKU91;0
30;3;2;;0
30;4;2;SKU46;0
30;0;3;SKU161;0
30;1;3;;0
30;2;3;SKU32;0
30;3;3;;0
30;4;3;;0
39;0;0;;0
39;1;0;SKU187;0
39;2;0;SKU175;0
39;3;0;;0
39;4;0;SKU28;0
39;0;1;;0
39;1;1;;0
39;2;1;SKU9;0
39;3;1;SKU107;0
39;4;1;;0
39;0;2;;0
39;1;2;;0
39;2;2;SKU53;0
39;3;2;;0
39;4;2;SKU124;0
39;0;3;;0
39;1;3;;0
39;2;3;SKU151;0
39;3;3;SKU193;0
39;4;3;SKU60;0
48;0;0;SKU183;0
48;1;0;;0
48;2;0;SKU2;0
48;3;0;SKU1;0
48;4;0;SKU36;0
48;0;1;SKU133;0
48;1;1;;0
48;2;1;;0
48;3;1;;0
48;4;1;SKU141;0
48;0;2;;0
48;1;2;;0
48;2;2;SKU197;0
48;3;2;SKU23;0
48;4;2;SKU143;0
48;0;3;;0
48;1;3;SKU4;0
48;2;3;;0
48;3;3;;0
48;4;3;;0
63;0;0;;0
63;1;0;SKU123;0
63;2;0;SKU191;0
63;3;0;;0
63;4;0;SKU44;0
63;0;1;SKU11;0
63;1;1;;0
63;2;1;SKU98;0
63;3;1;;0
63;4;1;SKU96;0
63;0;2;;0
63;1;2;SKU61;0
63;2;2;;0
63;3;2;SKU29;0
63;4;2;;0
63;0;3;SKU194;0
